DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
147638,-2.1538,1.4483,-36.2413,0.3688,0.2528,0.2178,0
147805,-2.1641,1.4533,-36.2322,0.3917,0.2387,0.2086,0
147971,-2.1755,1.4583,-36.2251,0.3820,0.2382,0.2203,0
148138,-2.1869,1.4611,-36.2169,0.3846,0.2348,0.2541,0
148305,0.2712,0.4930,-35.9548,-0.0126,-0.0076,0.2271,0
148471,0.2720,0.4940,-35.9579,0.0066,0.0099,0.2462,0
148638,0.2722,0.4943,-35.9598,-0.0020,0.0081,0.2341,0
148805,0.2724,0.4947,-35.9614,0.0021,0.0073,0.2353,0
148971,0.2718,0.4932,-35.9637,0.0081,0.0047,0.2286,0
149138,0.2710,0.4951,-35.9641,0.0047,0.0046,0.2286,0
149305,0.2704,0.4953,-35.9658,0.0129,-0.0095,0.2313,0
149471,0.2707,0.4961,-35.9672,0.0010,0.0111,0.2474,0
149638,0.2705,0.4959,-35.9691,0.0016,-0.0045,0.2642,0
149805,0.2708,0.4959,-35.9706,-0.0020,-0.0060,0.2265,0
149971,0.2718,0.4960,-35.9722,-0.0105,-0.0002,0.2435,0
150138,0.2719,0.4958,-35.9743,-0.0022,0.0127,0.2406,0
150305,0.2725,0.4944,-35.9752,-0.0063,0.0093,0.2397,0
150471,0.2732,0.4944,-35.9758,-0.0099,0.0150,0.2379,0
150638,0.2729,0.4934,-35.9775,0.0017,0.0138,0.2355,0
150805,0.2719,0.4916,-35.9794,-0.0049,0.0047,0.2249,0
150971,0.2720,0.4916,-35.9808,-0.0019,0.0023,0.2361,0
151138,0.2710,0.4913,-35.9814,-0.0129,-0.0073,0.2359,0
151305,0.2711,0.4888,-35.9829,-0.0002,0.0030,0.2502,0
