DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Complete (Quaternion),StartTime: 2025-12-02 14:33:20.555,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
188152,0.9689,0.0015,-0.0009,0.2475,0.0041,-0.0070,0.2313
188319,0.9689,0.0015,-0.0009,0.2475,-0.0060,0.0067,0.2363
188485,0.9689,0.0014,-0.0009,0.2475,-0.0061,-0.0217,0.2249
188652,0.9689,0.0014,-0.0009,0.2475,-0.0127,0.0053,0.2452
188819,0.9689,0.0014,-0.0009,0.2475,-0.0084,-0.0063,0.2380
188985,0.9689,0.0014,-0.0009,0.2475,-0.0074,-0.0078,0.2601
189152,0.9689,0.0014,-0.0009,0.2475,-0.0176,-0.0134,0.2388
189319,0.9689,0.0014,-0.0009,0.2475,0.0104,-0.0090,0.2357
189485,0.9689,0.0014,-0.0009,0.2475,-0.0083,-0.0073,0.2462
189652,0.9689,0.0014,-0.0009,0.2475,0.0055,-0.0038,0.2424
189819,0.9689,0.0014,-0.0009,0.2475,0.0070,-0.0034,0.2281
189985,0.9689,0.0014,-0.0009,0.2475,-0.0165,-0.0058,0.2495
190152,0.9689,0.0014,-0.0009,0.2475,-0.0056,-0.0144,0.2680
190319,0.9689,0.0014,-0.0009,0.2475,-0.0028,-0.0114,0.2387
190485,0.9689,0.0014,-0.0009,0.2475,-0.0039,-0.0209,0.2424
190652,0.9689,0.0014,-0.0009,0.2475,0.0013,0.0080,0.2367
190819,0.9689,0.0014,-0.0009,0.2475,-0.0009,-0.0043,0.2371
190985,0.9689,0.0014,-0.0009,0.2475,-0.0068,-0.0017,0.2575
191152,0.9689,0.0014,-0.0009,0.2475,-0.0013,-0.0060,0.2235
191319,0.9689,0.0014,-0.0009,0.2475,-0.0017,-0.0047,0.2621
191485,0.9689,0.0014,-0.0010,0.2475,0.0058,-0.0009,0.2625
191652,0.9689,0.0014,-0.0009,0.2475,-0.0059,-0.0196,0.2381
