DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-12-02 15:55:47.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
2412806,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0002,0.1675,0.0923,0.0075,10.0506,-0.0337,0.0172,-0.0105,-0.0530,1.1772,0.5369,0.9988,-0.0108,0.0014,-0.0479,-1.2453,0.1060,-5.4924,0
2412973,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0002,0.1676,0.0820,0.0099,10.0554,-0.0343,0.0167,-0.0105,-0.0503,1.1792,0.5315,0.9988,-0.0110,0.0015,-0.0479,-1.2671,0.1166,-5.4961,0
2413139,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0000,0.1678,0.0966,-0.0024,10.0655,-0.0341,0.0158,-0.0109,-0.0520,1.1802,0.5388,0.9988,-0.0112,0.0016,-0.0479,-1.2887,0.1264,-5.4983,0
2413306,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1675,0.0811,0.0041,10.0520,-0.0337,0.0166,-0.0105,-0.0500,1.1772,0.5349,0.9988,-0.0114,0.0017,-0.0480,-1.3098,0.1369,-5.5010,0
2413473,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0002,0.1678,0.0830,-0.0128,10.0655,-0.0322,0.0141,-0.0108,-0.0525,1.1792,0.5408,0.9988,-0.0115,0.0018,-0.0480,-1.3294,0.1449,-5.5027,0
2413639,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0001,0.1672,0.0899,0.0032,10.0334,-0.0332,0.0163,-0.0111,-0.0496,1.1812,0.5393,0.9988,-0.0117,0.0019,-0.0480,-1.3498,0.1550,-5.5062,0
2413806,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0000,0.1680,0.0800,-0.0033,10.0800,-0.0340,0.0168,-0.0115,-0.0554,1.1775,0.5369,0.9988,-0.0119,0.0020,-0.0480,-1.3710,0.1655,-5.5078,0
2413973,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0000,0.1678,0.0802,-0.0011,10.0666,-0.0332,0.0152,-0.0124,-0.0515,1.1821,0.5422,0.9988,-0.0121,0.0021,-0.0481,-1.3912,0.1744,-5.5144,0
2414139,1.0000,-0.0003,0.0001,-0.0001,0.0012,0.0001,0.1678,0.0720,0.0052,10.0661,-0.0332,0.0150,-0.0117,-0.0513,1.1821,0.5354,0.9988,-0.0122,0.0022,-0.0481,-1.4114,0.1830,-5.5174,0
2414306,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0001,0.1675,0.0943,0.0024,10.0502,-0.0340,0.0168,-0.0106,-0.0510,1.1802,0.5349,0.9988,-0.0124,0.0023,-0.0481,-1.4323,0.1934,-5.5192,0
