DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2025-12-02 16:02:11.979,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
6261864,-1.9487,0.9515,-0.5980,0.9941,-0.0168,0.0028,0.1070,-1.8831,0.5240,12.2830,0.0713,0.3428,0.2437
6262031,-1.9788,0.8506,-0.5950,0.9941,-0.0170,0.0028,0.1070,-1.9010,0.5309,12.2818,0.0690,0.3359,0.2333
6262197,-1.9387,0.8611,-0.6391,0.9941,-0.0171,0.0029,0.1070,-1.9181,0.5378,12.2799,0.0813,0.3695,0.2157
6262364,-1.9370,0.9743,-0.5407,0.9941,-0.0173,0.0029,0.1070,-1.9349,0.5466,12.2798,0.0754,0.3507,0.2306
6262531,-1.9188,0.9057,-0.6464,0.9941,-0.0174,0.0030,0.1070,-1.9512,0.5540,12.2777,0.0859,0.3593,0.2524
6262697,-1.9175,0.8872,-0.5471,0.9941,-0.0176,0.0030,0.1070,-1.9673,0.5611,12.2756,0.0903,0.3596,0.2019
6262864,-1.9684,0.9061,-0.5964,0.9941,-0.0177,0.0031,0.1070,-1.9840,0.5684,12.2741,0.0856,0.3761,0.2386
6263031,-1.8852,0.8691,-0.5020,0.9941,-0.0179,0.0031,0.1070,-1.9991,0.5750,12.2721,0.0748,0.3700,0.2310
6263197,-1.9761,0.8993,-0.5372,0.9941,-0.0180,0.0032,0.1070,-2.0155,0.5820,12.2730,0.0747,0.3738,0.2363
6263364,-1.9672,0.8611,-0.5583,0.9941,-0.0182,0.0032,0.1070,-2.0315,0.5882,12.2728,0.0739,0.3649,0.2211
6263531,-1.9339,0.9113,-0.6563,0.9941,-0.0183,0.0033,0.1069,-2.0468,0.5952,12.2705,0.0830,0.3704,0.2274
6263697,-1.8816,0.8366,-0.6522,0.9941,-0.0184,0.0033,0.1069,-2.0610,0.6008,12.2694,0.0826,0.3764,0.2262
6263864,-1.8174,0.8943,-0.5456,0.9941,-0.0186,0.0033,0.1069,-2.0738,0.6073,12.2696,0.0841,0.3828,0.2012
6264031,-1.9180,0.9063,-0.5279,0.9941,-0.0187,0.0034,0.1070,-2.0882,0.6139,12.2708,0.1011,0.3968,0.2410
6264197,-1.8963,0.9059,-0.5943,0.9941,-0.0188,0.0034,0.1070,-2.1019,0.6203,12.2702,0.0821,0.3960,0.2524
6264364,-1.9769,0.9459,-0.5948,0.9941,-0.0189,0.0035,0.1069,-2.1167,0.6273,12.2695,0.1001,0.4101,0.2409
6264531,-2.0373,0.8803,-0.5917,0.9941,-0.0191,0.0035,0.1069,-2.1322,0.6331,12.2688,0.0951,0.3888,0.2333
6264697,-1.9070,0.8735,-0.6222,0.9941,-0.0192,0.0035,0.1069,-2.1454,0.6386,12.2667,0.0990,0.3909,0.2302
6264864,-1.9297,0.8572,-0.6250,0.9941,-0.0193,0.0036,0.1069,-2.1587,0.6437,12.2661,0.0776,0.3772,0.2137
6265031,-1.8972,0.9574,-0.6137,0.9941,-0.0194,0.0036,0.1069,-2.1713,0.6504,12.2654,0.0786,0.3797,0.2039
6265197,-1.9506,0.9695,-0.6405,0.9941,-0.0196,0.0037,0.1069,-2.1845,0.6572,12.2638,0.0637,0.3956,0.2453
6265364,-1.9866,0.8934,-0.6433,0.9941,-0.0197,0.0037,0.1069,-2.1980,0.6626,12.2651,0.0805,0.4114,0.2393
6265531,-2.0043,0.8541,-0.6100,0.9941,-0.0198,0.0037,0.1069,-2.2116,0.6673,12.2656,0.0806,0.4100,0.2384
6265697,-1.9908,0.9363,-0.5454,0.9941,-0.0199,0.0038,0.1069,-2.2247,0.6733,12.2666,0.1162,0.4247,0.2235
6265864,-1.9358,0.9325,-0.6080,0.9941,-0.0200,0.0038,0.1069,-2.2367,0.6790,12.2661,0.1026,0.4078,0.2127
6266031,-1.9432,0.9180,-0.5868,0.9941,-0.0201,0.0038,0.1069,-2.2485,0.6844,12.2666,0.0971,0.4281,0.2322
6266197,-1.9439,0.8797,-0.6775,0.9941,-0.0203,0.0039,0.1069,-2.2600,0.6889,12.2652,0.0687,0.4109,0.2462
6266364,-2.0165,0.8523,-0.5923,0.9941,-0.0204,0.0039,0.1069,-2.2725,0.6930,12.2654,0.0746,0.4072,0.2384
6266531,-2.0122,0.8779,-0.6038,0.9940,-0.0205,0.0039,0.1069,-2.2847,0.6974,12.2669,0.0744,0.4151,0.2289
