DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2650771,0.0347,0.0211,10.0605,-1.9213,0.9107,-0.5747,0.5889,0.8943,0.5496
2650938,0.0291,0.0347,10.0362,-1.9113,1.0201,-0.6611,0.5938,0.8899,0.5491
2651104,0.0155,0.0197,10.0526,-1.8803,0.9040,-0.6056,0.5913,0.8938,0.5510
2651271,0.0365,0.0218,10.0415,-1.8779,0.8779,-0.5710,0.5918,0.8943,0.5505
2651438,0.0288,0.0199,10.0529,-1.8735,0.8883,-0.5929,0.5884,0.8889,0.5505
2651604,0.0264,0.0130,10.0468,-1.9114,0.8646,-0.6416,0.5903,0.8948,0.5481
2651771,0.0296,0.0183,10.0448,-1.8309,0.8310,-0.6051,0.5942,0.8889,0.5535
2651938,0.0238,0.0282,10.0542,-2.0104,0.9289,-0.6581,0.5903,0.8914,0.5466
2652104,0.0210,0.0164,10.0373,-1.8719,0.8201,-0.5942,0.5908,0.8938,0.5486
2652271,0.0033,0.0133,10.0562,-1.9280,0.9623,-0.5740,0.5903,0.8914,0.5549
2652438,0.0268,0.0100,10.0528,-1.9090,0.9277,-0.6581,0.5928,0.8918,0.5476
2652604,0.0273,0.0266,10.0606,-1.9413,0.9343,-0.5772,0.5933,0.8921,0.5569
2652771,0.0248,0.0201,10.0436,-1.9291,0.8919,-0.5474,0.5908,0.8899,0.5491
2652938,0.0393,0.0219,10.0429,-1.9040,0.9039,-0.6361,0.5903,0.8933,0.5505
2653104,0.0236,0.0130,10.0598,-1.9223,0.8846,-0.5134,0.5889,0.8914,0.5540
2653271,0.0267,0.0145,10.0689,-1.9188,0.9452,-0.5364,0.5903,0.8899,0.5496
2653438,0.0270,0.0256,10.0644,-1.9463,0.9952,-0.6196,0.5913,0.8899,0.5496
2653604,0.0186,0.0156,10.0602,-1.9212,0.8985,-0.5370,0.5859,0.8928,0.5515
2653771,0.0282,0.0222,10.0781,-1.9195,0.9939,-0.6269,0.5938,0.8914,0.5530
2653938,0.0257,0.0156,10.0509,-1.9322,0.9908,-0.5894,0.5889,0.8889,0.5505
2654104,0.0368,0.0088,10.0610,-1.8699,0.9107,-0.5965,0.5913,0.8904,0.5500
2654271,0.0334,0.0168,10.0558,-1.9029,0.9581,-0.5972,0.5903,0.8894,0.5510
2654438,0.0138,0.0028,10.0588,-1.9304,1.0253,-0.6453,0.5889,0.8938,0.5505
2654604,0.0240,0.0256,10.0675,-1.9200,0.8870,-0.6628,0.5879,0.8879,0.5491
2654771,0.0221,0.0092,10.0933,-1.9341,0.8474,-0.6142,0.5913,0.8879,0.5481
2654938,0.0303,0.0131,10.0724,-1.8859,0.8734,-0.5892,0.5884,0.8914,0.5491
2655104,0.0226,0.0153,10.0641,-1.9005,1.0452,-0.5384,0.5903,0.8923,0.5486
2655271,0.0212,0.0089,10.0558,-1.9437,0.8257,-0.6477,0.5898,0.8918,0.5520
2655438,0.0321,0.0327,10.0389,-1.9121,0.8814,-0.5746,0.5898,0.8928,0.5520
2655604,0.0280,0.0183,10.0413,-1.9622,0.9080,-0.6599,0.5874,0.8914,0.5520
2655771,0.0220,0.0216,10.0478,-1.9039,0.9921,-0.6372,0.5938,0.8933,0.5525
2655938,0.0293,0.0197,10.0437,-1.8917,0.8773,-0.5511,0.5884,0.8889,0.5481
2656104,0.0230,0.0248,10.0295,-1.9200,0.8805,-0.5554,0.5898,0.8884,0.5496
2656271,0.0204,0.0183,10.0448,-1.8591,0.8508,-0.5327,0.5894,0.8894,0.5520
2656438,0.0196,0.0240,10.0432,-1.8967,0.8911,-0.6213,0.5889,0.8928,0.5496
2656604,0.0295,0.0254,10.0558,-1.9021,0.9441,-0.5927,0.5874,0.8914,0.5525
2656771,0.0335,0.0175,10.0457,-1.9340,0.9165,-0.6225,0.5933,0.8904,0.5505
2656938,0.0386,0.0161,10.0442,-1.9621,0.8881,-0.5564,0.5894,0.8918,0.5549
