DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2722772,0.0230,0.0190,10.0629,-1.9141,0.8695,-0.6465,0.5908,0.8918,0.5496
2722939,0.0212,0.0153,10.0814,-1.9436,0.8933,-0.5821,0.5894,0.8909,0.5500
2723106,0.0313,0.0124,10.0708,-1.9082,0.8954,-0.6251,0.5898,0.8889,0.5505
2723272,0.0284,0.0227,10.0369,-1.9472,0.8977,-0.6141,0.5913,0.8943,0.5486
2723439,0.0228,0.0208,10.0433,-1.9549,0.9666,-0.6275,0.5879,0.8894,0.5496
2723606,0.0096,0.0294,10.0286,-1.9599,0.9201,-0.6161,0.5884,0.8899,0.5481
2723772,0.0294,0.0206,10.0561,-1.9436,0.8901,-0.5804,0.5898,0.8914,0.5466
2723939,0.0289,0.0259,10.0543,-1.9319,0.9009,-0.5699,0.5913,0.8889,0.5486
2724106,0.0192,0.0141,10.0645,-1.9207,0.8878,-0.5780,0.5889,0.8943,0.5486
2724272,0.0289,0.0210,10.0580,-1.8906,0.9252,-0.6055,0.5889,0.8904,0.5520
2724439,0.0331,0.0198,10.0532,-1.9545,0.9179,-0.5838,0.5874,0.8914,0.5500
2724606,0.0243,0.0086,10.0630,-1.9248,0.8433,-0.6287,0.5879,0.8899,0.5515
2724772,0.0314,0.0141,10.0583,-1.9155,0.9136,-0.5390,0.5889,0.8948,0.5486
2724939,0.0431,0.0092,10.0641,-1.8887,0.8420,-0.5435,0.5918,0.8909,0.5457
2725106,0.0328,0.0211,10.0299,-1.9301,0.8226,-0.5513,0.5894,0.8889,0.5535
2725272,0.0292,0.0075,10.0371,-1.9303,0.9051,-0.5821,0.5908,0.8889,0.5520
2725439,0.0269,0.0197,10.0441,-1.8984,0.8921,-0.5602,0.5913,0.8909,0.5500
2725606,0.0225,0.0198,10.0730,-1.9865,1.0472,-0.5689,0.5894,0.8884,0.5486
2725772,0.0302,0.0210,10.0567,-1.8771,0.9530,-0.5770,0.5889,0.8958,0.5500
2725939,0.0261,0.0220,10.0350,-1.9262,0.9019,-0.5893,0.5869,0.8899,0.5496
2726106,0.0367,0.0180,10.0720,-1.9317,0.8267,-0.5771,0.5874,0.8923,0.5486
2726272,0.0362,0.0208,10.0436,-1.9110,0.8872,-0.6109,0.5918,0.8899,0.5491
2726439,0.0305,0.0119,10.0493,-1.9782,0.8495,-0.6290,0.5898,0.8943,0.5515
2726606,0.0258,0.0145,10.0656,-1.9363,0.8409,-0.5511,0.5894,0.8884,0.5491
2726772,0.0178,0.0192,10.0450,-1.9057,0.9939,-0.5738,0.5898,0.8894,0.5515
2726939,0.0308,0.0209,10.0457,-1.8921,0.9579,-0.6091,0.5928,0.8870,0.5500
2727106,0.0290,0.0158,10.0616,-1.8713,0.9031,-0.6245,0.5908,0.8909,0.5515
2727272,0.0369,0.0342,10.0330,-1.8735,0.8696,-0.6185,0.5913,0.8909,0.5505
2727439,0.0320,0.0171,10.0476,-1.9366,0.9967,-0.6382,0.5918,0.8879,0.5466
2727606,0.0276,0.0125,10.0702,-1.9644,0.8503,-0.6286,0.5908,0.8918,0.5476
2727772,0.0365,0.0147,10.0484,-1.9742,0.8977,-0.6088,0.5884,0.8909,0.5471
2727939,0.0369,0.0105,10.0126,-1.9152,0.8243,-0.5871,0.5879,0.8909,0.5476
2728106,0.0283,0.0189,10.0601,-1.9132,0.8426,-0.6787,0.5923,0.8918,0.5515
2728272,0.0333,0.0127,10.0470,-1.9524,0.8387,-0.5974,0.5874,0.8909,0.5486
2728439,0.0323,0.0268,10.0661,-1.9661,0.8691,-0.6315,0.5894,0.8904,0.5496
2728606,0.0271,0.0136,10.0672,-1.9225,0.8538,-0.5425,0.5894,0.8899,0.5471
2728772,0.0300,0.0156,10.0613,-1.9551,0.9217,-0.6454,0.5908,0.8923,0.5530
2728939,0.0299,0.0221,10.0562,-1.9475,0.9362,-0.5344,0.5908,0.8943,0.5515
2729106,0.0301,0.0162,10.0484,-1.9619,0.9347,-0.6290,0.5903,0.8943,0.5510
2729272,0.0243,0.0181,10.0619,-1.9021,0.8489,-0.6064,0.5879,0.8909,0.5491
2729439,0.0244,0.0088,10.0591,-1.9628,0.8784,-0.5458,0.5894,0.8909,0.5520
2729606,0.0248,0.0210,10.0602,-1.9412,0.8890,-0.6154,0.5884,0.8899,0.5500
2729772,0.0223,0.0235,10.0462,-1.9566,0.9151,-0.6250,0.5908,0.8938,0.5476
2729939,0.0220,0.0344,10.0662,-1.8950,0.8615,-0.6766,0.5933,0.8918,0.5515
2730106,0.0238,0.0184,10.0416,-1.9511,0.9534,-0.5520,0.5903,0.8909,0.5491
2730272,0.0220,0.0189,10.0722,-1.9062,0.8513,-0.6419,0.5898,0.8904,0.5481
2730439,0.0306,0.0205,10.0692,-1.9179,0.9421,-0.6160,0.5889,0.8879,0.5505
2730606,0.0193,0.0121,10.0480,-1.9186,0.8923,-0.6125,0.5874,0.8909,0.5486
2730772,0.0318,0.0115,10.0676,-1.8777,0.9490,-0.6202,0.5884,0.8909,0.5525
2730939,0.0238,0.0166,10.0501,-1.8860,0.9569,-0.6238,0.5923,0.8870,0.5515
2731106,0.0211,0.0110,10.0434,-1.9637,1.0292,-0.6712,0.5879,0.8889,0.5520
2731273,0.0218,0.0205,10.0598,-1.9634,0.8695,-0.6609,0.5884,0.8918,0.5432
2731439,0.0257,0.0134,10.0687,-1.9110,0.9595,-0.5658,0.5913,0.8909,0.5500
2731606,0.0311,0.0246,10.0490,-1.9619,0.8583,-0.6228,0.5898,0.8923,0.5520
2731773,0.0331,0.0129,10.0501,-1.9565,0.8887,-0.6781,0.5913,0.8894,0.5554
2731939,0.0295,0.0249,10.0282,-1.9544,0.9035,-0.6477,0.5884,0.8889,0.5525
2732106,0.0412,0.0177,10.0523,-1.8913,0.9727,-0.6071,0.5894,0.8884,0.5510
2732273,0.0350,0.0282,10.0648,-1.9786,0.8925,-0.5223,0.5879,0.8943,0.5496
2732439,0.0222,0.0242,10.0680,-1.9876,0.8694,-0.6045,0.5889,0.8904,0.5544
2732606,0.0378,0.0200,10.0689,-1.8765,0.8866,-0.5817,0.5898,0.8875,0.5471
2732773,0.0249,0.0235,10.0518,-1.9359,0.8774,-0.5965,0.5884,0.8933,0.5520
2732939,0.0154,0.0194,10.0384,-1.9657,0.9003,-0.6363,0.5898,0.8894,0.5554
2733106,0.0018,0.0128,10.0547,-1.9347,0.8646,-0.6136,0.5884,0.8909,0.5510
2733273,0.0141,0.0193,10.0458,-1.8853,0.9088,-0.5858,0.5903,0.8909,0.5549
2733439,0.0126,0.0251,10.0438,-1.9217,0.9367,-0.6593,0.5898,0.8918,0.5525
2733606,0.0156,0.0227,10.0465,-1.9377,0.8705,-0.5698,0.5933,0.8899,0.5466
2733773,0.0275,0.0139,10.0539,-1.9573,0.8773,-0.6193,0.5918,0.8909,0.5564
2733939,0.0306,0.0246,10.0659,-2.0208,0.9448,-0.6137,0.5874,0.8899,0.5486
2734106,0.0284,0.0249,10.0464,-1.9645,0.8512,-0.6301,0.5913,0.8879,0.5481
2734273,0.0359,0.0331,10.0543,-1.9339,0.9510,-0.5918,0.5923,0.8914,0.5520
2734439,0.0305,0.0307,10.0565,-1.9359,0.9136,-0.5846,0.5879,0.8909,0.5544
2734606,0.0298,0.0143,10.0617,-1.9329,0.8061,-0.6723,0.5889,0.8918,0.5510
2734773,0.0379,0.0223,10.0797,-1.9333,0.7879,-0.6413,0.5903,0.8904,0.5515
2734939,0.0189,0.0214,10.0514,-2.0233,0.8772,-0.6630,0.5898,0.8879,0.5500
2735106,0.0383,0.0055,10.0620,-1.9182,0.9453,-0.6410,0.5879,0.8923,0.5540
2735273,0.0114,0.0196,10.0600,-1.8370,0.8711,-0.6356,0.5884,0.8928,0.5544
2735439,0.0288,0.0160,10.0314,-2.0208,0.8487,-0.5868,0.5903,0.8909,0.5549
2735606,0.0273,0.0130,10.0400,-1.9144,0.8658,-0.6525,0.5884,0.8923,0.5574
2735773,0.0379,0.0107,10.0583,-1.9217,0.9319,-0.6015,0.5923,0.8904,0.5535
2735939,0.0334,0.0158,10.0415,-1.9555,0.8986,-0.6472,0.5903,0.8875,0.5535
2736106,0.0270,0.0111,10.0681,-1.8790,0.8835,-0.5455,0.5889,0.8909,0.5540
2736273,0.0310,0.0163,10.0558,-1.9346,0.8098,-0.6502,0.5913,0.8918,0.5540
2736439,0.0316,0.0145,10.0595,-1.8876,0.9660,-0.6349,0.5928,0.8899,0.5515
2736606,0.0289,0.0282,10.0587,-1.9175,0.8044,-0.6227,0.5859,0.8914,0.5549
2736773,0.0269,0.0320,10.0369,-1.9438,0.8852,-0.6416,0.5889,0.8923,0.5549
2736939,0.0312,0.0220,10.0315,-1.8863,0.8815,-0.6424,0.5903,0.8928,0.5554
2737106,0.0111,0.0299,10.0302,-1.9284,0.8072,-0.6070,0.5918,0.8879,0.5530
2737273,0.0304,0.0175,10.0249,-1.9358,0.9520,-0.6430,0.5903,0.8933,0.5549
2737439,0.0333,0.0238,10.0408,-1.8925,0.8092,-0.6692,0.5913,0.8918,0.5535
2737606,0.0140,0.0256,10.0548,-1.9254,0.9179,-0.5663,0.5962,0.8911,0.5515
2737773,0.0430,0.0364,10.0600,-1.9310,0.8866,-0.6624,0.5908,0.8928,0.5481
2737939,0.0248,0.0195,10.0795,-1.9591,0.9100,-0.6150,0.5903,0.8914,0.5491
2738106,0.0227,0.0238,10.0367,-1.8871,0.9879,-0.6714,0.5889,0.8918,0.5510
2738273
2738439
