DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.404,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4251086,0.9746,-0.0065,0.0043,-0.2239,-0.0083,-0.0021,-0.0013,0
4251253,0.9746,-0.0065,0.0043,-0.2239,0.0046,-0.0043,-0.0016,0
4251420,0.9746,-0.0065,0.0043,-0.2239,-0.0039,0.0020,-0.0103,0
4251586,0.9746,-0.0065,0.0043,-0.2238,-0.0039,0.0007,0.0020,0
4251753,0.9746,-0.0065,0.0043,-0.2239,-0.0078,-0.0183,-0.0096,0
4251920,0.9746,-0.0065,0.0043,-0.2238,0.0007,0.0051,-0.0160,0
4252086,0.9746,-0.0065,0.0043,-0.2239,0.0010,0.0015,-0.0021,0
4252253,0.9746,-0.0065,0.0043,-0.2239,-0.0024,0.0095,0.0219,0
4252420,0.9746,-0.0065,0.0043,-0.2239,-0.0018,0.0030,0.0070,0
4252586,0.9746,-0.0065,0.0043,-0.2239,0.0027,0.0040,-0.0015,0
4252753,0.9746,-0.0065,0.0043,-0.2239,-0.0030,0.0133,0.0206,0
4252920,0.9746,-0.0065,0.0043,-0.2239,0.0071,0.0037,0.0035,0
4253086,0.9746,-0.0065,0.0043,-0.2240,-0.0068,0.0138,0.0087,0
4253253,0.9746,-0.0065,0.0043,-0.2239,0.0056,-0.0038,-0.0025,0
4253420,0.9746,-0.0065,0.0043,-0.2240,-0.0051,-0.0081,0.0099,0
4253586,0.9746,-0.0065,0.0043,-0.2240,-0.0028,-0.0055,0.0302,0
4253753,0.9746,-0.0065,0.0043,-0.2240,-0.0009,0.0010,-0.0007,0
4253920,0.9746,-0.0065,0.0043,-0.2240,0.0151,-0.0030,0.0153,0
4254086,0.9746,-0.0065,0.0043,-0.2239,0.0060,-0.0022,-0.0071,0
4254253,0.9746,-0.0065,0.0043,-0.2239,0.0002,-0.0188,0.0169,0
4254420,0.9746,-0.0065,0.0043,-0.2239,-0.0048,-0.0114,0.0162,0
4254586,0.9746,-0.0065,0.0043,-0.2239,-0.0019,-0.0066,0.0039,0
4254753,0.9746,-0.0065,0.0043,-0.2239,-0.0108,-0.0156,-0.0004,0
4254920,0.9746,-0.0065,0.0043,-0.2239,-0.0078,0.0005,-0.0001,0
4255086,0.9746,-0.0065,0.0043,-0.2239,-0.0060,0.0008,0.0014,0
4255253,0.9746,-0.0065,0.0043,-0.2239,0.0035,0.0006,0.0146,0
4255420,0.9746,-0.0065,0.0043,-0.2239,0.0050,0.0089,0.0119,0
4255586,0.9746,-0.0065,0.0043,-0.2239,0.0032,0.0031,0.0007,0
4255753,0.9746,-0.0065,0.0043,-0.2239,-0.0030,-0.0083,0.0155,0
4255920,0.9746,-0.0065,0.0043,-0.2239,0.0109,-0.0192,0.0089,0
4256086,0.9746,-0.0065,0.0043,-0.2239,-0.0018,0.0049,0.0318,0
