DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:13:05.736,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
432736,0.9134,-0.0104,0.0039,0.4068,0.0067,0.0038,-0.1049,0
432903,0.9135,-0.0104,0.0040,0.4068,0.0117,-0.0069,-0.0868,0
433069,0.9135,-0.0104,0.0039,0.4068,0.0131,-0.0071,-0.0905,0
433236,0.9135,-0.0104,0.0039,0.4068,-0.0051,-0.0109,-0.0994,0
433403,0.9135,-0.0104,0.0039,0.4068,-0.0100,-0.0076,-0.0971,0
433569,0.9135,-0.0104,0.0039,0.4068,-0.0154,-0.0024,-0.1065,0
433736,0.9135,-0.0104,0.0039,0.4067,0.0013,-0.0034,-0.0948,0
433903,0.9135,-0.0104,0.0039,0.4067,0.0071,-0.0098,-0.0941,0
434069,0.9135,-0.0104,0.0039,0.4067,0.0112,0.0089,-0.0823,0
434236,0.9135,-0.0104,0.0039,0.4067,0.0113,-0.0170,-0.0767,0
434403,0.9135,-0.0104,0.0039,0.4067,-0.0038,-0.0019,-0.1020,0
434569,0.9135,-0.0104,0.0039,0.4067,0.0054,0.0034,-0.1011,0
434736,0.9135,-0.0104,0.0039,0.4067,-0.0037,-0.0201,-0.0706,0
434903,0.9135,-0.0104,0.0039,0.4067,-0.0098,-0.0041,-0.0874,0
435069,0.9135,-0.0104,0.0039,0.4067,-0.0004,-0.0035,-0.0728,0
435236,0.9135,-0.0104,0.0039,0.4067,-0.0090,-0.0006,-0.0904,0
435403,0.9135,-0.0104,0.0039,0.4067,-0.0056,-0.0057,-0.1064,0
435569,0.9135,-0.0104,0.0039,0.4067,0.0049,0.0103,-0.0938,0
435736,0.9135,-0.0104,0.0039,0.4067,0.0036,-0.0042,-0.0813,0
435903,0.9135,-0.0104,0.0039,0.4067,0.0164,-0.0037,-0.0939,0
436069,0.9135,-0.0104,0.0039,0.4067,0.0158,0.0016,-0.0976,0
436236,0.9135,-0.0104,0.0039,0.4067,0.0067,0.0001,-0.0912,0
436403,0.9135,-0.0104,0.0039,0.4067,-0.0021,-0.0191,-0.0928,0
436569,0.9135,-0.0104,0.0039,0.4067,-0.0085,0.0042,-0.0912,0
436736,0.9135,-0.0104,0.0039,0.4067,-0.0124,-0.0053,-0.0877,0
436903,0.9135,-0.0104,0.0039,0.4067,-0.0099,0.0053,-0.1075,0
437069,0.9135,-0.0104,0.0039,0.4067,0.0042,0.0001,-0.0810,0
437236,0.9135,-0.0104,0.0039,0.4067,0.0026,0.0003,-0.0787,0
