DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.341,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4131640,0.8524,0.0091,-0.0003,0.5228,0.5261,-0.3447,1.8862,0
4131807,0.8524,0.0092,-0.0003,0.5229,0.5485,-0.3473,1.8994,0
4131973,0.8523,0.0094,-0.0002,0.5230,0.5123,-0.3782,1.8795,0
4132140,0.8522,0.0095,-0.0001,0.5231,0.5201,-0.3543,1.8845,0
4132307,0.8522,0.0096,-0.0001,0.5232,0.5151,-0.3722,1.9232,0
4132473,0.8521,0.0097,-0.0000,0.5233,0.5359,-0.3680,1.9008,0
4132640,0.8521,0.0098,0.0000,0.5234,0.5218,-0.3807,1.8805,0
4132807,0.8520,0.0100,0.0001,0.5234,0.5330,-0.3771,1.8976,0
4132973,0.8520,0.0101,0.0001,0.5235,0.5473,-0.3657,1.8742,0
4133140,0.8519,0.0102,0.0001,0.5236,0.5597,-0.3706,1.8952,0
4133307,0.8518,0.0103,0.0002,0.5237,0.5316,-0.3597,1.8778,0
4133473,0.8518,0.0104,0.0002,0.5238,0.5277,-0.3637,1.8869,0
4133640,0.8517,0.0105,0.0003,0.5239,0.5377,-0.3751,1.9045,0
4133807,0.8517,0.0106,0.0003,0.5240,0.5350,-0.3864,1.8847,0
4133973,0.8516,0.0107,0.0004,0.5241,0.5503,-0.3721,1.8850,0
4134140,0.8515,0.0107,0.0004,0.5242,0.5543,-0.3823,1.8665,0
4134307,0.8515,0.0108,0.0004,0.5243,0.5522,-0.3856,1.8774,0
4134473,0.8514,0.0109,0.0005,0.5243,0.5407,-0.3890,1.8877,0
4134640,0.8514,0.0110,0.0005,0.5244,0.5474,-0.3726,1.7936,0
4134807,0.8513,0.0110,0.0005,0.5245,0.5638,-0.3587,2.0553,0
4134974,0.8513,0.0111,0.0006,0.5246,0.5404,-0.3732,1.8019,0
4135140,0.8512,0.0112,0.0006,0.5247,0.5442,-0.4024,1.9477,0
4135307,0.8512,0.0112,0.0006,0.5248,0.5496,-0.4186,1.8698,0
4135474,0.8511,0.0113,0.0007,0.5249,0.5846,-0.4046,1.8553,0
4135640,0.8510,0.0113,0.0007,0.5250,0.5860,-0.3773,1.9447,0
4135807,0.8510,0.0114,0.0007,0.5251,0.5579,-0.3908,1.8598,0
4135974,0.8509,0.0114,0.0007,0.5252,0.5386,-0.3844,1.9062,0
4136140,0.8509,0.0115,0.0007,0.5253,0.5560,-0.3891,1.8610,0
4136307,0.8508,0.0115,0.0007,0.5253,0.5699,-0.3856,1.8718,0
4136474,0.8508,0.0116,0.0008,0.5254,0.5858,-0.3963,1.9013,0
4136640,0.8507,0.0116,0.0008,0.5255,0.5923,-0.3994,1.8940,0
4136807,0.8507,0.0116,0.0008,0.5256,0.5819,-0.3923,1.8812,0
4136974,0.8506,0.0116,0.0008,0.5257,0.5788,-0.3930,1.9029,0
4137140,0.8506,0.0117,0.0008,0.5257,0.5551,-0.3780,1.9631,0
4137307,0.8505,0.0117,0.0009,0.5258,0.5385,-0.3748,1.8618,0
4137474,0.8504,0.0117,0.0009,0.5259,0.5624,-0.3953,1.9309,0
4137640,0.8504,0.0117,0.0008,0.5260,0.5904,-0.4195,1.8534,0
4137807,0.8504,0.0118,0.0008,0.5261,0.6086,-0.4221,1.8918,0
4137974,0.8503,0.0118,0.0008,0.5261,0.5896,-0.3794,1.8937,0
4138140,0.8503,0.0118,0.0008,0.5262,0.5733,-0.3705,1.8796,0
4138307,0.8502,0.0118,0.0008,0.5263,0.5581,-0.3825,1.8985,0
4138474,0.8502,0.0118,0.0008,0.5264,0.5385,-0.3885,1.8649,0
4138640,0.8501,0.0118,0.0008,0.5264,0.5597,-0.3816,1.8885,0
4138807,0.8501,0.0118,0.0008,0.5265,0.5740,-0.3804,1.9077,0
4138974,0.8500,0.0118,0.0008,0.5266,0.5841,-0.4079,1.8583,0
4139140,0.8500,0.0118,0.0008,0.5266,0.5923,-0.4142,1.9241,0
4139307,0.8500,0.0117,0.0008,0.5267,0.5819,-0.4154,1.9382,0
4139474,0.8499,0.0117,0.0008,0.5268,0.5505,-0.3912,1.7799,0
4139640,0.8499,0.0117,0.0008,0.5268,0.5801,-0.3948,1.8194,0
4139807,0.8499,0.0117,0.0008,0.5269,0.5982,-0.3682,2.0747,0
4139974,0.8498,0.0116,0.0008,0.5269,0.5840,-0.3616,1.7151,0
4140140,0.8498,0.0116,0.0008,0.5270,0.5812,-0.3954,2.0187,0
4140307,0.8498,0.0115,0.0008,0.5271,0.5618,-0.4124,1.9284,0
4140474,0.8497,0.0115,0.0008,0.5271,0.5518,-0.4052,1.8385,0
4140640,0.8497,0.0115,0.0008,0.5271,0.5400,-0.4097,1.9680,0
4140807,0.8497,0.0114,0.0007,0.5272,0.5455,-0.3791,1.8634,0
4140974,0.8496,0.0114,0.0007,0.5272,0.5625,-0.3703,1.8945,0
4141140,0.8496,0.0113,0.0006,0.5273,0.5935,-0.3787,1.8943,0
4141307,0.8496,0.0113,0.0006,0.5273,0.6037,-0.3609,1.8209,0
4141474,0.8496,0.0112,0.0006,0.5273,0.5869,-0.3787,1.9024,0
