DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4238888,0.6056,-0.0022,-0.0097,0.7957,-0.0410,0.1212,0.0103,0
4239054,0.6056,-0.0022,-0.0097,0.7957,-0.0440,0.1286,0.0950,0
4239221,0.6056,-0.0023,-0.0097,0.7957,-0.0572,0.1212,-0.0093,0
4239388,0.6056,-0.0023,-0.0097,0.7957,-0.0627,0.1223,0.0398,0
4239554,0.6056,-0.0023,-0.0097,0.7957,-0.0345,0.1262,-0.0207,0
4239721,0.6056,-0.0024,-0.0097,0.7957,-0.0145,0.1235,0.0081,0
4239888,0.6057,-0.0024,-0.0097,0.7957,-0.0165,0.1502,0.0192,0
4240054,0.6057,-0.0024,-0.0097,0.7956,-0.0349,0.1501,-0.0161,0
4240221,0.6057,-0.0024,-0.0096,0.7956,-0.0640,0.1294,0.0323,0
4240388,0.6057,-0.0025,-0.0096,0.7956,-0.0676,0.1218,-0.0068,0
4240554,0.6058,-0.0025,-0.0096,0.7956,-0.0566,0.1337,-0.0038,0
4240721,0.6058,-0.0025,-0.0096,0.7956,-0.0499,0.1431,0.0348,0
4240888,0.6058,-0.0026,-0.0096,0.7956,-0.0360,0.1402,-0.0180,0
4241054,0.6058,-0.0026,-0.0095,0.7956,-0.0191,0.1408,0.0380,0
4241221,0.6058,-0.0026,-0.0095,0.7956,-0.0338,0.1268,0.0762,0
4241388,0.6058,-0.0026,-0.0095,0.7956,-0.0639,0.1200,-0.0774,0
4241554,0.6058,-0.0026,-0.0095,0.7955,-0.0667,0.1343,-0.0819,0
4241721,0.6058,-0.0027,-0.0095,0.7955,-0.0351,0.1586,0.1754,0
4241888,0.6058,-0.0027,-0.0094,0.7955,-0.0353,0.1578,-0.1605,0
4242054,0.6059,-0.0027,-0.0094,0.7955,-0.0478,0.1439,0.0888,0
4242221,0.6059,-0.0027,-0.0094,0.7955,-0.0405,0.1135,0.0778,0
4242388,0.6059,-0.0028,-0.0093,0.7955,-0.0503,0.1172,-0.0949,0
4242554,0.6059,-0.0028,-0.0093,0.7955,-0.0627,0.1219,0.0986,0
4242721,0.6059,-0.0028,-0.0093,0.7955,-0.0729,0.1259,-0.0021,0
4242888,0.6059,-0.0028,-0.0093,0.7954,-0.0554,0.1348,-0.0137,0
4243054,0.6060,-0.0028,-0.0093,0.7954,-0.0320,0.1462,0.0446,0
4243221,0.6060,-0.0028,-0.0094,0.7954,-0.0242,0.1658,-0.0632,0
4243388,0.6060,-0.0029,-0.0093,0.7954,-0.0363,0.1458,-0.0059,0
4243554,0.6060,-0.0029,-0.0092,0.7954,-0.0482,0.1327,0.0234,0
4243721,0.6060,-0.0029,-0.0092,0.7954,-0.0406,0.1419,0.0241,0
4243888,0.6060,-0.0029,-0.0092,0.7954,-0.0502,0.1321,0.0304,0
4244054,0.6061,-0.0029,-0.0092,0.7954,-0.0406,0.1290,0.0234,0
4244221,0.6061,-0.0029,-0.0092,0.7953,-0.0382,0.1313,-0.0144,0
4244388,0.6061,-0.0029,-0.0092,0.7953,-0.0557,0.1495,0.0347,0
4244554,0.6061,-0.0029,-0.0092,0.7953,-0.0595,0.1437,0.0063,0
4244721,0.6061,-0.0029,-0.0092,0.7953,-0.0584,0.1450,0.0074,0
4244888,0.6061,-0.0029,-0.0092,0.7953,-0.0437,0.1460,-0.0064,0
4245054,0.6061,-0.0029,-0.0092,0.7953,-0.0313,0.1444,0.0170,0
4245221,0.6062,-0.0030,-0.0092,0.7953,-0.0304,0.1366,0.0299,0
4245388,0.6062,-0.0030,-0.0092,0.7953,-0.0291,0.1432,-0.0162,0
4245554,0.6062,-0.0030,-0.0092,0.7953,-0.0397,0.1399,0.0467,0
4245721,0.6062,-0.0030,-0.0091,0.7953,-0.0476,0.1290,-0.0212,0
4245888,0.6062,-0.0030,-0.0091,0.7952,-0.0674,0.1295,0.0120,0
4246054,0.6062,-0.0030,-0.0091,0.7952,-0.0546,0.1343,-0.0770,0
4246221,0.6063,-0.0030,-0.0091,0.7952,-0.0436,0.1655,0.0756,0
4246388,0.6063,-0.0030,-0.0091,0.7952,-0.0324,0.1745,0.0467,0
4246554,0.6063,-0.0030,-0.0091,0.7952,-0.0487,0.1361,-0.0037,0
4246721,0.6063,-0.0030,-0.0091,0.7952,-0.0327,0.1190,0.0407,0
4246888,0.6063,-0.0030,-0.0091,0.7952,-0.0467,0.1297,-0.0190,0
4247054,0.6063,-0.0030,-0.0091,0.7952,-0.0592,0.1406,0.0342,0
4247221,0.6063,-0.0030,-0.0091,0.7952,-0.0619,0.1576,0.0275,0
4247388,0.6063,-0.0030,-0.0091,0.7952,-0.0549,0.1445,-0.0266,0
4247554,0.6063,-0.0030,-0.0091,0.7952,-0.0378,0.1389,0.0071,0
4247721,0.6063,-0.0030,-0.0091,0.7952,-0.0439,0.1414,-0.0508,0
4247888,0.6063,-0.0030,-0.0091,0.7952,-0.0350,0.1473,0.0221,0
4248054,0.6063,-0.0030,-0.0091,0.7951,-0.0377,0.1556,0.0474,0
4248221,0.6064,-0.0030,-0.0091,0.7951,-0.0384,0.1398,0.0220,0
4248388,0.6064,-0.0030,-0.0091,0.7951,-0.0575,0.1301,-0.0346,0
4248554,0.6064,-0.0030,-0.0091,0.7951,-0.0495,0.1441,0.0152,0
4248721,0.6064,-0.0030,-0.0091,0.7951,-0.0550,0.1372,-0.0114,0
4248888,0.6064,-0.0030,-0.0091,0.7951,-0.0515,0.1473,0.0061,0
4249054,0.6064,-0.0030,-0.0091,0.7951,-0.0351,0.1432,0.0252,0
4249221,0.6064,-0.0030,-0.0091,0.7951,-0.0299,0.1415,0.0185,0
4249388,0.6064,-0.0030,-0.0091,0.7951,-0.0314,0.1473,0.0326,0
4249554,0.6065,-0.0030,-0.0091,0.7951,-0.0525,0.1279,0.0104,0
4249721,0.6065,-0.0030,-0.0091,0.7950,-0.0410,0.1398,-0.0233,0
4249888,0.6065,-0.0030,-0.0092,0.7950,-0.0410,0.1489,-0.0089,0
4250054,0.6065,-0.0030,-0.0091,0.7950,-0.0473,0.1565,0.0266,0
4250221,0.6065,-0.0030,-0.0091,0.7950,-0.0484,0.1450,-0.0147,0
4250388,0.6066,-0.0030,-0.0091,0.7950,-0.0461,0.1447,0.0054,0
4250554,0.6066,-0.0030,-0.0091,0.7950,-0.0233,0.1475,-0.0416,0
4250721,0.6066,-0.0030,-0.0091,0.7950,-0.0346,0.1432,0.1415,0
4250888,0.6066,-0.0029,-0.0091,0.7950,-0.0583,0.1508,-0.0142,0
4251054,0.6066,-0.0029,-0.0091,0.7950,-0.0456,0.1487,0.0159,0
4251221,0.6066,-0.0029,-0.0091,0.7950,-0.0382,0.1410,-0.0025,0
4251388,0.6066,-0.0029,-0.0092,0.7950,-0.0310,0.1578,-0.0123,0
4251554,0.6066,-0.0029,-0.0091,0.7950,-0.0431,0.1499,0.0332,0
